dataset,case_id,fold,fault_type,root_service,candidate_count,root_rank,AC@1,AC@2,AC@3,AC@4,AC@5,Avg@5,MRR
re2tt,re2tt-995607e863fb7731,2,disk,ts-order-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-a0c0a90c5448e7fa,1,cpu,ts-auth-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-a141811c79edaa0b,2,delay,ts-route-service,68,4,0.0,0.0,0.0,1.0,1.0,0.4,0.25
re2tt,re2tt-a33887653c475d04,2,mem,ts-route-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-a7213c3da47edbd0,1,socket,ts-train-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-aa71e41ec8e7922d,1,socket,ts-auth-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-ae09714023e727e1,1,mem,ts-auth-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-afdac60e6b000d3c,0,loss,ts-order-service,68,7,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
re2tt,re2tt-b2342b2478b249cb,0,disk,ts-train-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-b5173d4edf252af8,0,disk,ts-route-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-bbbcbf7787fa152c,0,mem,ts-auth-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-bc9cd2d131533d16,1,mem,ts-travel-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-bed634aec03e773f,0,socket,ts-travel-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-c1b234f6cc4acbee,0,disk,ts-auth-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-c7f9112580bfde33,1,disk,ts-train-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-c82529d65e13adc0,0,socket,ts-auth-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-c8fbd9a7d1e92284,0,disk,ts-travel-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-cb1f1df38c99005a,2,socket,ts-auth-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-cb3381bf9ed05034,1,loss,ts-travel-service,68,8,0.0,0.0,0.0,0.0,0.0,0.0,0.125
re2tt,re2tt-cc6c772d4116d054,2,delay,ts-auth-service,68,11,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091
re2tt,re2tt-cdf514b035f34990,0,disk,ts-order-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-d0a74725c5d96362,2,delay,ts-order-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-d14727a3c74e9768,2,socket,ts-route-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-d4b1d66aaaa1a728,1,cpu,ts-order-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-d83931768111dc58,1,disk,ts-travel-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-e3f89de859062727,2,cpu,ts-travel-service,68,2,0.0,1.0,1.0,1.0,1.0,0.8,0.5
re2tt,re2tt-e44ccb97e7cc1570,0,cpu,ts-auth-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-e4be9aa8e249ddf3,0,delay,ts-order-service,68,4,0.0,0.0,0.0,1.0,1.0,0.4,0.25
re2tt,re2tt-e76e500ff655313b,1,delay,ts-auth-service,68,27,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035
re2tt,re2tt-e9071bdee1904785,2,loss,ts-travel-service,68,4,0.0,0.0,0.0,1.0,1.0,0.4,0.25
re2tt,re2tt-ee2421859dfb0792,1,loss,ts-order-service,68,3,0.0,0.0,1.0,1.0,1.0,0.6,0.3333333333333333
re2tt,re2tt-f09cbf3636ad02de,1,cpu,ts-travel-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-f1aa29dd3ba2343f,2,socket,ts-train-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-f5512e2434f96386,1,mem,ts-route-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-f578fe138f6d4c7a,2,mem,ts-travel-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-fa81461ebec56b42,2,disk,ts-train-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-fb57d883cd727c81,2,delay,ts-travel-service,68,2,0.0,1.0,1.0,1.0,1.0,0.8,0.5
re2tt,re2tt-fc53b7fb52199fb7,2,mem,ts-order-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-fd20b1f93a6ff4c0,1,disk,ts-route-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-fe28a6c0dbd7d892,0,cpu,ts-order-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-ffda523857bbf5c2,2,loss,ts-train-service,68,2,0.0,1.0,1.0,1.0,1.0,0.8,0.5
