dataset,case_id,fault_type,root_service,fold,M,L,TE,TL,M+L,M+TE,M+TL,L+TE,L+TL,TE+TL,FULL-M,FULL-L,FULL-TE,FULL-TL,FULL-Z2
re2tt,re2tt-783d045c8102f972,delay,ts-auth-service,0,1,3,9,9,1,1,1,3,2,9,2,1,1,1,1
re2tt,re2tt-7cff180e5ff1cc71,loss,ts-train-service,1,1,59,57,49,1,1,1,59,51,49,51,1,1,1,1
re2tt,re2tt-7d3fb265c1c0f9ed,cpu,ts-train-service,1,1,59,57,48,3,1,1,59,51,48,51,1,2,3,2
re2tt,re2tt-7d84c0b80f7f0032,disk,ts-order-service,1,1,6,35,34,1,1,1,6,6,34,6,1,1,1,1
re2tt,re2tt-877f6cbd0cb33e7c,loss,ts-train-service,0,1,59,57,48,2,1,1,59,49,48,49,1,2,2,2
re2tt,re2tt-93fbbdf23f58f440,cpu,ts-route-service,0,1,20,47,41,1,1,1,20,15,41,15,1,1,1,1
re2tt,re2tt-94bd05feab03461e,loss,ts-route-service,0,1,5,47,42,2,1,1,5,4,42,4,1,1,2,1
re2tt,re2tt-995607e863fb7731,disk,ts-order-service,2,1,10,35,34,1,1,1,10,7,34,7,1,1,1,1
re2tt,re2tt-a0c0a90c5448e7fa,cpu,ts-auth-service,1,1,6,9,1,1,1,1,6,1,1,1,1,1,1,1
re2tt,re2tt-a141811c79edaa0b,delay,ts-route-service,2,2,10,47,42,5,2,2,10,3,42,3,2,4,5,4
re2tt,re2tt-a33887653c475d04,mem,ts-route-service,2,1,18,47,46,1,1,1,18,17,46,17,1,1,1,1
re2tt,re2tt-a7213c3da47edbd0,socket,ts-train-service,1,1,59,57,49,1,1,1,59,50,49,50,1,1,1,1
re2tt,re2tt-aa71e41ec8e7922d,socket,ts-auth-service,1,1,3,9,1,1,1,1,3,1,1,1,1,1,1,1
re2tt,re2tt-ae09714023e727e1,mem,ts-auth-service,1,1,2,9,9,1,1,1,2,3,9,3,1,1,1,1
re2tt,re2tt-afdac60e6b000d3c,loss,ts-order-service,0,7,1,35,31,8,7,10,1,1,31,1,10,7,8,7
re2tt,re2tt-b2342b2478b249cb,disk,ts-train-service,0,1,59,57,48,1,1,1,59,50,48,50,1,1,1,1
re2tt,re2tt-b5173d4edf252af8,disk,ts-route-service,0,1,15,47,1,1,1,1,15,1,1,1,1,1,1,1
re2tt,re2tt-bbbcbf7787fa152c,mem,ts-auth-service,0,1,2,9,10,1,1,1,2,2,10,2,1,1,1,1
re2tt,re2tt-bc9cd2d131533d16,mem,ts-travel-service,1,1,6,60,57,1,1,1,6,6,57,6,1,1,1,1
re2tt,re2tt-bed634aec03e773f,socket,ts-travel-service,0,1,6,60,54,1,1,1,6,3,54,3,1,1,1,1
re2tt,re2tt-c1b234f6cc4acbee,disk,ts-auth-service,0,1,20,9,57,1,1,1,20,57,57,57,1,1,1,1
re2tt,re2tt-c7f9112580bfde33,disk,ts-train-service,1,1,59,57,49,1,1,1,59,51,49,51,1,1,1,1
re2tt,re2tt-c82529d65e13adc0,socket,ts-auth-service,0,2,6,9,1,2,2,1,6,1,1,1,1,1,2,1
re2tt,re2tt-c8fbd9a7d1e92284,disk,ts-travel-service,0,1,13,60,1,1,1,1,13,1,1,1,1,1,1,1
